Date,Open ,High,Low,Close,Adj Close,Volume
"Jul 30, 2013",35.06,35.42,34.54,34.82,34.82,"10,890,600"
"Aug 19, 2004",2.27,2.31,2.2,2.26,2.26,"5,969,600"
"Sep 14, 2020",480.62,488.99,471.3,476.26,476.26,"7,359,100"
"Jul 7, 2008",3.93,4.06,3.91,4.04,4.04,"11,434,500"
"Aug 28, 2006",2.7,2.79,2.69,2.75,2.75,"9,011,800"
"Jan 9, 2024",475.53,485.09,473.8,482.09,482.09,"3,526,800"
"Aug 2, 2010",14.86,15,14.42,14.55,14.55,"24,295,600"
"Feb 28, 2023",323.7,327.62,321.17,322.13,322.13,"3,676,100"
"May 19, 2004",4.51,4.67,4.43,4.48,4.48,"13,762,000"
"Aug 23, 2005",3.05,3.07,2.95,3.01,3.01,"3,793,300"
"Mar 11, 2021",512.2,530.24,510.71,523.06,523.06,"4,714,500"
"Aug 2, 2002",0.89,0.89,0.71,0.78,0.78,"6,655,600"
"Mar 14, 2012",15.12,15.14,14.7,15.04,15.04,"36,208,200"
"Feb 11, 2019",350,352.87,344.81,345.73,345.73,"5,454,900"
"Sep 2, 2016",97.9,98.18,97.01,97.38,97.38,"4,247,200"
"Jan 11, 2006",3.62,3.69,3.54,3.55,3.55,"8,747,900"
"Feb 5, 2014",57.59,58.25,56.86,57.77,57.77,"16,762,900"
"Nov 8, 2021",650.29,656,643.79,651.45,651.45,"2,887,500"
"Nov 9, 2023",438.03,440.38,434.35,435.15,435.15,"2,735,500"
"Dec 31, 2014",49.03,49.39,48.79,48.8,48.8,"8,627,500"
"Feb 12, 2004",5.2,5.41,5.04,5.33,5.33,"39,651,500"
"Nov 16, 2016",112.96,116.12,111.81,115.19,115.19,"5,933,700"
"May 17, 2005",2.1,2.1,1.95,2.07,2.07,"16,391,900"
"Dec 31, 2020",525.53,545.5,523.15,540.73,540.73,"5,392,300"
"Nov 25, 2019",308.83,315.73,305.25,315.55,315.55,"7,873,900"
"Mar 13, 2019",355.81,362.48,352.77,361.21,361.21,"6,444,100"
"Jun 25, 2014",62.14,63.54,61.9,63.46,63.46,"15,752,100"
"May 1, 2012",11.47,11.81,11.29,11.62,11.62,"32,983,300"
"Dec 11, 2014",48.01,48.7,47.66,47.8,47.8,"11,769,100"
"May 17, 2007",3.08,3.14,3.07,3.12,3.12,"5,142,200"
"May 5, 2014",48.3,49.35,48.01,49.2,49.2,"20,330,800"
"Jul 10, 2013",35.08,35.27,34.17,34.83,34.83,"22,578,500"
"Aug 11, 2005",2.99,3.03,2.92,3,3,"6,282,500"
"Sep 10, 2003",2.52,2.59,2.4,2.42,2.42,"10,642,800"
